OrderID,CustomerID,ProductID,Product,Category,Region,OrderDate,Quantity,Price,Discount,PaymentMethod,Revenue
10000,1102,349,Tablet,Electronics,North,2024-06-02,4,1020.5551086060544,0.2225419425738516,Card,3173.7551689327797
10001,1179,302,Phone,Accessories,North,2024-03-01,3,1255.7821925701562,0.2270114730334408,UPI,2912.115681676923
10002,1092,393,Tablet,Accessories,South,2024-07-12,1,267.9504026017547,0.200071616005263,Card,214.3411325439608
10003,1014,365,Tablet,Accessories,West,2024-07-18,1,105.95776481029408,0.0702084525920623,Cash,98.51863410284965
10004,1106,302,Monitor,Accessories,North,2023-07-06,3,1324.3776615736356,0.1764258737564093,UPI,3272.1695263411107
10005,1071,289,Tablet,Electronics,West,2024-07-03,2,506.6531798154521,0.1712068984730544,Cash,839.8213205954758
10006,1188,373,Phone,Accessories,East,2024-03-28,3,237.01941649438965,0.1452798594329176,Card,607.7558069496378
10007,1020,321,Monitor,Accessories,East,2024-04-15,1,729.2687937762755,0.1649936959151592,Card,608.9440401755378
10008,1102,342,Laptop,Accessories,North,2024-07-18,3,917.5438097592272,0.1475371897871004,Cash,2346.515923682403
10009,1121,305,Laptop,Accessories,West,2023-08-12,2,94.90737496263968,0.1696369098222324,Cash,157.61516230927515
10010,1074,318,Monitor,Accessories,North,2023-06-03,1,448.5987044727772,0.2146517863863386,Card,352.3061911870984
10011,1087,371,Phone,Accessories,East,2024-07-13,2,97.5598177014992,0.0328884583210319,Cash,188.702451406432
10012,1116,248,Laptop,Accessories,North,2023-12-17,3,659.4863143334735,0.2248877256447071,Card,1533.527811027625
10013,1099,303,Laptop,Electronics,West,2023-05-27,4,1347.8950421460545,0.0407658450382782,Cash,5171.787846920259
10014,1103,260,Tablet,Accessories,East,2024-07-29,3,1474.845996665675,0.0199883995231124,Card,4336.098556947777
10015,1151,394,Tablet,Accessories,South,2023-12-15,2,973.71895258026,0.2928239058664402,Card,1377.1815313390582
10016,1130,322,Phone,Accessories,East,2023-07-01,3,284.3746559876581,0.2870975306611324,UPI,608.1941834129774
10017,1149,333,Monitor,Accessories,South,2024-09-28,4,1363.4816154989933,0.0181309634821692,Card,5355.041520479088
10018,1052,208,Phone,Electronics,North,2023-06-28,2,798.5593436400877,0.1329760324424886,Card,1384.740180905902
10019,1001,205,Monitor,Electronics,North,2023-02-08,3,272.93650254923125,0.0558734814899324,UPI,773.0597697783596
10020,1087,272,Laptop,Electronics,West,2023-01-03,2,1386.503670704909,0.1456034691403254,UPI,2369.247852548958
10021,1157,302,Tablet,Electronics,South,2023-03-05,2,1148.3301235484994,0.2490531728998762,Cash,1724.6697254844776
10022,1037,359,Phone,Electronics,North,2023-01-29,1,1110.9726454485697,0.2851835324228671,Cash,794.141541994369
10023,1129,240,Phone,Electronics,South,2024-01-07,1,1078.3120205018868,0.1902757960354612,Card,873.1353424262837
10024,1191,313,Monitor,Accessories,North,2024-06-06,2,340.4927405898414,0.1061717001635451,Cash,608.684094856146
10025,1187,207,Monitor,Electronics,East,2023-04-07,3,355.9597029759128,0.1809976696933795,Cash,874.5954786975751
10026,1020,271,Phone,Electronics,North,2024-03-17,3,1048.0248477195196,0.0936003918325351,Card,2849.787933968219
10027,1160,377,Monitor,Accessories,West,2023-07-22,3,368.5979876600755,0.2729470922496181,UPI,803.9707161575918
10028,1057,291,Phone,Electronics,East,2024-02-15,4,686.0739603644208,0.261120138931751,UPI,2027.7049300664264
10029,1021,261,Phone,Accessories,West,2023-01-21,2,1183.902647111215,0.1674695250838982,Card,1971.27006610786
10030,1088,283,Phone,Accessories,East,2024-07-04,2,1186.7311512418694,0.0974396746141081,Card,2142.192908020871
10031,1048,261,Laptop,Electronics,South,2023-04-12,4,707.2295701624964,0.0880169026748935,Card,2579.9256556667888
10032,1058,310,Monitor,Accessories,West,2023-02-15,2,1198.6754104991053,0.0100253984115178,Card,2373.3164238855243
10033,1169,326,Tablet,Electronics,North,2023-03-07,2,1266.0016044871822,0.2447462553075885,Card,1912.3049051510911
10034,1187,206,Tablet,Electronics,South,2024-08-25,4,999.4248393621774,0.1351149639117023,Card,3457.550353037191
10035,1014,283,Monitor,Accessories,North,2023-06-13,1,381.2174858472092,0.0975398785200793,Cash,344.0335785879424
10036,1189,331,Phone,Accessories,East,2023-04-21,2,447.3170815590439,0.1413331064993261,Cash,768.1927376641836
